genome	phylogroup
Esch_coli_08-00022	A
Esch_coli_1223	A
Esch_coli_127	A
Esch_coli_1283	A
Esch_coli_1303	A
Esch_coli_14EC001	A
Esch_coli_14EC007	A
Esch_coli_14EC017	A
Esch_coli_2_HS-C	A
Esch_coli_2013C-4991	A
Esch_coli_2014EL-1346-6	A
Esch_coli_203740	A
Esch_coli_210221272	A
Esch_coli_214-4	A
Esch_coli_2452	A
Esch_coli_26561	A
Esch_coli_300709	A
Esch_coli_4_2-1	A
Esch_coli_504239	A
Esch_coli_510016	A
Esch_coli_5CRE51	A
Esch_coli_6409	A
Esch_coli_6666666_257727_embl	A
Esch_coli_675SK2	A
Esch_coli_720632	A
Esch_coli_90-9272	A
Esch_coli_ABWA45	A
Esch_coli_AR_0014	A
Esch_coli_AR_0061	A
Esch_coli_AR_0085	A
Esch_coli_AR_0114	A
Esch_coli_AR_0137	A
Esch_coli_AR_0369	A
Esch_coli_ATCC_43886	A
Esch_coli_ATCC_8739_GCF_000019385.1	A
Esch_coli_BE2-5	A
Esch_coli_BLK9	A
Esch_coli_C9	A
Esch_coli_CFSAN051542	A
Esch_coli_CFSAN064036	A
Esch_coli_CP53	A
Esch_coli_CREC-629	A
Esch_coli_D2	A
Esch_coli_D4	A
Esch_coli_D72	A
Esch_coli_DA33133	A
Esch_coli_E308	A
Esch_coli_E706	A
Esch_coli_EC-129	A
Esch_coli_ECCHD184	A
Esch_coli_ECCNB20-2	A
Esch_coli_ECCWS199	A
Esch_coli_Ecol_AZ147	A
Esch_coli_Ecol_AZ155	A
Esch_coli_ECONIH4	A
Esch_coli_ECONIH5	A
Esch_coli_ECZP248	A
Esch_coli_F5505-C1	A
Esch_coli_F6699	A
Esch_coli_f974b26a-5e81-11e8-bf7f-3c4a9275d6c8	A
Esch_coli_FAM21845	A
Esch_coli_FMU073332	A
Esch_coli_FORC_031	A
Esch_coli_FORC_064	A
Esch_coli_FORC_081	A
Esch_coli_FORC_082	A
Esch_coli_H1	A
Esch_coli_H1827_12	A
Esch_coli_H2	A
Esch_coli_H5	A
Esch_coli_H7	A
Esch_coli_H8	A
Esch_coli_H9Ecoli	A
Esch_coli_HKUOPY1	A
Esch_coli_HS	A
Esch_coli_HS30-1	A
Esch_coli_J53	A
Esch_coli_KL53	A
Esch_coli_L37	A
Esch_coli_L73	A
Esch_coli_LHM10-1	A
Esch_coli_M9682-C1	A
Esch_coli_ML35	A
Esch_coli_MRSN346355	A
Esch_coli_NCTC10973	A
Esch_coli_NCTC11023	A
Esch_coli_NCTC122	A
Esch_coli_NCTC5934	A
Esch_coli_NCTC86EC	A
Esch_coli_NCTC9008	A
Esch_coli_NCTC9038	A
Esch_coli_NCTC9040	A
Esch_coli_NCTC9041	A
Esch_coli_NCTC9066	A
Esch_coli_NCTC9080	A
Esch_coli_NCTC9084	A
Esch_coli_NCTC9087	A
Esch_coli_NCTC9100	A
Esch_coli_NCTC9102	A
Esch_coli_NCTC9104	A
Esch_coli_NCTC9107	A
Esch_coli_NCTC9699	A
Esch_coli_NCTC9966	A
Esch_coli_NCTC9967	A
Esch_coli_P12b	A
Esch_coli_PCN061	A
Esch_coli_PF9285	A
Esch_coli_PigCaeca_1	A
Esch_coli_PigCaeca_2	A
Esch_coli_RM14721	A
Esch_coli_S1	A
Esch_coli_S30	A
Esch_coli_S43	A
Esch_coli_SC516	A
Esch_coli_SCEC020023	A
Esch_coli_SEC470	A
Esch_coli_SLK172	A
Esch_coli_ST540_GCF_000597845.1	A
Esch_coli_str_3426	A
Esch_coli_str_TO6	A
Esch_coli_str_TO73	A
Esch_coli_UMNK88	A
Esch_coli_VR50	A
Esch_coli_W5-6	A
Esch_coli_WCHEC005237	A
Esch_coli_WCHEC050613	A
