ID	UMB01_00	UMB01_01	UMB01_02	UMB01_03	UMB01_04	UMB01_05	UMB01_06	UMB01_07	UMB01_08	UMB01_09	UMB01_10	UMB01_11	UMB01_12	UMB02_00	UMB02_01	UMB02_02	UMB02_03	UMB02_04	UMB02_05	UMB02_06	UMB02_07	UMB02_08	UMB02_09	UMB02_10	UMB02_11	UMB02_12	UMB03_00	UMB03_01	UMB03_02	UMB03_03	UMB03_04	UMB03_05	UMB03_06	UMB03_07	UMB03_08	UMB03_09	UMB03_10	UMB03_11	UMB03_12	UMB04_00	UMB04_01	UMB04_02	UMB04_03	UMB04_04	UMB04_05	UMB04_06	UMB04_07	UMB04_08	UMB04_09	UMB05_00	UMB05_01	UMB05_02	UMB05_03	UMB05_04	UMB05_05	UMB05_05.1	UMB05_06	UMB05_06.1	UMB05_07	UMB05_08	UMB05_09	UMB05_09.1	UMB05_09.2	UMB05_10	UMB05_10.1	UMB05_11	UMB05_12	UMB06_00	UMB06_01	UMB06_02	UMB06_03	UMB06_05	UMB06_07	UMB06_08	UMB06_09	UMB06_10	UMB06_11	UMB06_12	UMB07_00	UMB07_01	UMB07_02	UMB07_03	UMB07_04	UMB07_05	UMB07_06	UMB07_07	UMB07_08	UMB07_09	UMB07_10	UMB07_11	UMB07_12	UMB08_01	UMB08_01.1	UMB08_02	UMB08_02.2	UMB08_03	UMB08_04	UMB08_05	UMB08_06	UMB08_07	UMB08_08	UMB08_09	UMB08_10	UMB08_11	UMB08_12	UMB09_01	UMB09_06	UMB09_07	UMB09_08	UMB09_09	UMB09_10	UMB09_11	UMB10_01	UMB10_02	UMB10_03	UMB10_04	UMB10_05	UMB10_06	UMB10_07	UMB10_08	UMB10_09	UMB10_10	UMB10_11	UMB10_12	UMB11_01	UMB11_02	UMB11_03	UMB11_04	UMB11_04.1	UMB11_05	UMB11_06	UMB11_07	UMB11_08	UMB11_11	UMB11_12	UMB12_01	UMB12_01.2	UMB12_02	UMB12_03	UMB12_04	UMB12_05	UMB12_06	UMB12_07	UMB12_08	UMB12_09	UMB12_10	UMB12_11	UMB12_12	UMB13_00	UMB13_01	UMB13_02	UMB13_03	UMB13_04	UMB13_05	UMB13_06	UMB13_07	UMB13_08	UMB13_09	UMB13_10	UMB13_11	UMB13_12	UMB14_00	UMB14_01	UMB15_01	UMB15_01.1	UMB15_02	UMB15_02.1	UMB15_03	UMB15_04	UMB15_05	UMB15_06	UMB15_08	UMB15_09	UMB15_10	UMB15_11	UMB15_12	UMB16_01	UMB16_03	UMB16_06	UMB17_01	UMB17_02	UMB17_03	UMB17_04	UMB17_05	UMB17_06	UMB17_07	UMB17_08	UMB17_09	UMB17_10	UMB17_11	UMB17_12	UMB18_00	UMB18_00.1	UMB18_01	UMB18_02	UMB18_02.1	UMB18_03	UMB18_04	UMB18_05	UMB18_06	UMB18_07	UMB18_08	UMB18_09	UMB18_09.1	UMB18_10	UMB18_10.1	UMB18_10.2	UMB18_12	UMB19_01	UMB19_02	UMB19_03	UMB19_04	UMB19_05	UMB19_06	UMB19_07	UMB19_08	UMB19_09	UMB19_10	UMB19_11	UMB19_12	UMB20_00.1	UMB20_01	UMB20_01.1	UMB20_01.2	UMB20_02	UMB20_02.1	UMB20_02.2	UMB20_03	UMB20_03.1	UMB20_04	UMB20_04.1	UMB20_05	UMB20_05.1	UMB20_06	UMB20_07	UMB20_08	UMB20_09	UMB20_10	UMB20_10.1	UMB20_11	UMB20_12	UMB21_01	UMB21_02	UMB21_03	UMB21_04	UMB21_05	UMB21_06	UMB21_07	UMB21_08	UMB21_09	UMB21_11	UMB21_12	UMB22_01	UMB22_02	UMB22_03	UMB22_04	UMB22_05	UMB22_06	UMB22_07	UMB22_08	UMB22_09	UMB22_10	UMB22_11	UMB22_12	UMB23_01	UMB23_01.2	UMB23_02	UMB23_02.1	UMB23_03	UMB23_04	UMB23_05	UMB23_06	UMB23_06.1	UMB23_07	UMB23_07.1	UMB23_08	UMB23_08.1	UMB23_10	UMB23_10.1	UMB23_11	UMB24_01	UMB24_02	UMB24_03	UMB24_04	UMB24_05	UMB24_06	UMB24_07	UMB24_08	UMB24_09	UMB24_09.1	UMB24_09.2	UMB24_10.1	UMB24_11	UMB24_12	UMB25_01	UMB25_02	UMB25_03	UMB25_04	UMB25_05	UMB25_06	UMB25_07	UMB25_08	UMB25_09	UMB25_10	UMB25_11	UMB25_12	UMB26_01	UMB26_02	UMB26_03	UMB26_04	UMB26_05	UMB26_06	UMB26_07	UMB26_08	UMB26_09	UMB26_10	UMB26_11	UMB26_12	UMB27_00	UMB27_01	UMB27_03	UMB27_04	UMB27_05	UMB27_06	UMB27_07	UMB27_08	UMB27_09	UMB27_10	UMB27_11	UMB27_12	UMB28_00	UMB28_01	UMB28_02	UMB28_03	UMB28_04	UMB28_05	UMB28_06	UMB28_07	UMB28_10	UMB28_11	UMB29_00	UMB29_01	UMB29_02	UMB29_03	UMB29_04	UMB29_05	UMB29_06	UMB29_07	UMB29_08	UMB29_09	UMB29_10	UMB29_11	UMB29_12	UMB30_01	UMB30_01.1	UMB31_00	UMB31_01	UMB31_02	UMB31_03	UMB31_04	UMB31_05	UMB31_06	UMB31_07	UMB31_08	UMB31_09	UMB31_10	UMB31_11
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	0	0.00146	0	0.00274	0	0	0	0	0	0	0	0.02103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011	0	0	0	0	0	0	0.00098	0	0.12878	0.00308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05083	0	0.0144	0	0	0	0	0.00919	16.11983	0	0	0.0623	0	0.0129	0	0.00664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01256	0	0	0	0	0	0.0269	0	0	0	0.00589	0.0611	0.00791	0.01292	0.05833	0	0.03732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01251	0	0	0	0	0	0	0	0	0.0125	0	0	0.01844	0	0	0	0	0.02881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00356	0	0	0	0	0	0	0	0	0	0.0029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified	0.00983	0.00865	0	0.01159	0	0	0	0	0	0	0	0.00293	0.00687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00629	0.00939	0.01499	0	0	0	0	0	0	0.02565	0	0	0.00604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.079	0.01847	0	0	0.0093	0	0.02247	6.45422	0.01323	0.0038	0	0	0.00926	0	0.00702	0.01374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00105	0	0	0	0	0	0.00234	0	0.00455	0	0.00862	0.02952	0.03059	0.01445	0.03262	0.02125	0.0217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00397	0.01084	0	0	0	0	0	0	0	0	0.02025	0	0	0.03025	0	0	0.0093	0	0.01747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07888	0	0	0	0	0	0	0	0	0	0	0	0	0.00378	0	0.0076	0	0.01145	0	0	0	0.01354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00053	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_turicensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01658	0	0	0	0	0	0	0.00443	0	0	0	0	0	0	0.00883	0	0	0	0	0	0.00312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0025	0	0	0	0	0	0	0	0	0	0.00116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0062	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00056	0.00538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0141	0	0.00104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00443	0	0	0	0	0	0	0	0	0	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	0.66055	0.50164	0.49565	0.61842	0.6901	0.12222	0.92967	1.74743	0.93579	2.12753	3.49947	0.5306	3.02289	0	0	0	0	0	0	0	0	0	0.51422	0.22493	1.09008	0.33125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10022	0	0.04407	0	0	0	0	0.05212	0.03051	0	0	0	0.04521	0	0	0	0	0	0	0	0.05532	0.88906	0.05894	0.05748	0.65228	0	0	0.48167	0.20176	0.05541	0.24037	0.84985	0	0	0	0.02022	0	0	0	0	0.04656	0.40521	0.66106	0.23439	0	0	0	0	0.39302	0.15291	0	0.21138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30086	1.26901	1.72445	0.35744	0.13008	0.24697	0.20832	0.97445	0.07972	0.12054	1.39613	0.03424	0.00564	0.13973	0.11039	0.18491	0.18065	0.0433	0.02552	3.41828	0.41973	0.08872	0.01528	0.13781	0.44523	0.2037	0	0	0.29602	1.14908	0.18883	0.02393	0.13189	0.54069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02054	0.01708	1.01224	0	0	0	0	0	0	0	0	0	0	0	0	0.23474	0.06131	0	0.24176	0.02271	0	2.9417	0.49144	0.35716	0	0	0.55873	0.00847	0.10028	0.11133	0.00763	3.96745	0.08206	0	0	0	0	0	0	0	0	0	0	0	0.18852	0.10778	0.05322	0.18824	0	0.04544	0	0.01522	0.04612	0.00917	0.0152	0.00522	0.07687	0	0.1141	0.08367	0.09463	0.19385	0.24416	0.13708	0.07839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00265	0.04555	0.00955	0.61962	0.11341	0.20334	0.18349	0.24295	0.04286	0	0.23799	0.05725	0.19514	0	0	0	0	0	0.36418	0.09537	0.20442	0.03834	0.11167	0.65017	0.76465	2.04288	1.83823	0.25696	4.28411	0.13739	0.02015	0.31082	0.10876	0	0.39045	0	0.03903	0.07703	0.10839	1.19362	0.12863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_angulatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01752	0	0	0.0294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09785	0	0	0	0	0	0	0	0	0	0	0
